time,click
2020-09-29 16:24:02.691189,d
2020-09-29 16:24:05.186670,a
2020-09-29 16:24:07.157702,d
2020-09-29 16:24:11.506961,a
2020-09-29 16:24:14.206266,a
2020-09-29 16:24:14.772374,d
2020-09-29 16:24:17.673880,d
2020-09-29 16:24:18.879065,a
2020-09-29 16:24:21.729895,a
2020-09-29 16:24:22.918962,d
2020-09-29 16:24:26.635467,a
2020-09-29 16:24:27.717127,d
2020-09-29 16:24:29.029734,a
2020-09-29 16:24:32.210500,d
2020-09-29 16:24:33.703105,a
2020-09-29 16:24:35.360316,d
2020-09-29 16:24:38.734363,a
2020-09-29 16:24:39.452116,d
2020-09-29 16:24:43.211616,a
2020-09-29 16:24:43.551483,d
2020-09-29 16:24:46.992617,d
2020-09-29 16:24:48.754898,a
2020-09-29 16:24:50.232795,d
2020-09-29 16:24:53.187493,a
2020-09-29 16:24:55.258133,d
2020-09-29 16:25:00.458041,d
2020-09-29 16:25:01.076474,a
2020-09-29 16:25:05.451473,d
2020-09-29 16:25:07.823802,a
2020-09-29 16:25:09.643542,a
2020-09-29 16:25:10.398808,d
2020-09-29 16:25:13.281730,a
2020-09-29 16:25:16.001124,d
2020-09-29 16:25:20.390616,d
2020-09-29 16:25:23.092167,a
2020-09-29 16:25:27.056272,d
2020-09-29 16:25:28.170937,a
2020-09-29 16:25:31.254034,a
2020-09-29 16:25:31.681926,d
2020-09-29 16:25:34.890555,d
2020-09-29 16:25:35.423856,a
2020-09-29 16:25:38.752494,a
2020-09-29 16:25:39.278128,d
2020-09-29 16:25:44.981646,d
2020-09-29 16:25:45.624074,a
2020-09-29 16:25:50.569454,a
2020-09-29 16:25:52.335655,d
2020-09-29 16:25:56.117464,a
2020-09-29 16:25:56.704737,d
2020-09-29 16:25:59.849615,a
2020-09-29 16:26:01.054130,d
2020-09-29 16:26:04.987706,d
2020-09-29 16:26:07.108706,a
2020-09-29 16:26:08.536465,d
2020-09-29 16:26:12.840614,a
2020-09-29 16:26:14.176847,d
2020-09-29 16:26:18.470575,a
2020-09-29 16:26:18.914386,d
2020-09-29 16:26:23.124796,d
2020-09-29 16:26:30.046675,a
2020-09-29 16:26:30.548169,d
2020-09-29 16:26:33.946440,a
2020-09-29 16:26:35.720652,d
2020-09-29 16:26:40.995313,a
2020-09-29 16:26:41.341735,d
2020-09-29 16:26:45.243520,d
2020-09-29 16:26:45.602113,a
2020-09-29 16:26:47.518800,a
2020-09-29 16:26:50.930401,d
2020-09-29 16:26:52.481552,a
2020-09-29 16:26:55.182369,d
2020-09-29 16:26:58.488719,d
2020-09-29 16:27:00.354087,a
2020-09-29 16:27:04.587844,a
2020-09-29 16:27:05.520514,d
2020-09-29 16:27:07.065882,a
2020-09-29 16:27:10.035083,a
2020-09-29 16:27:10.450771,d
2020-09-29 16:27:13.782545,a
2020-09-29 16:27:16.075272,a
2020-09-29 16:27:16.774537,d
2020-09-29 16:27:19.727463,d
2020-09-29 16:27:20.174560,a
2020-09-29 16:27:25.111593,a
2020-09-29 16:27:25.418947,d
2020-09-29 16:27:28.819939,a
2020-09-29 16:27:31.021809,d
2020-09-29 16:27:31.651345,a
2020-09-29 16:27:35.841270,a
2020-09-29 16:27:36.692736,d
2020-09-29 16:27:41.575290,d
2020-09-29 16:27:42.842632,a
2020-09-29 16:27:44.993468,a
2020-09-29 16:27:45.364903,d
2020-09-29 16:27:48.652455,d
2020-09-29 16:27:48.974606,a
2020-09-29 16:27:52.956850,a
2020-09-29 16:27:53.059183,a
2020-09-29 16:27:53.360286,d
2020-09-29 16:27:56.084551,a
2020-09-29 16:27:57.973175,d
2020-09-29 16:27:59.267489,a
2020-09-29 16:28:02.159537,d
2020-09-29 16:28:05.883162,a
2020-09-29 16:28:08.938851,d
2020-09-29 16:28:09.556292,a
2020-09-29 16:28:12.773873,a
2020-09-29 16:28:13.102227,d
2020-09-29 16:28:17.476469,d
2020-09-29 16:28:19.485902,a
2020-09-29 16:28:20.181560,d
2020-09-29 16:28:23.569533,a
2020-09-29 16:28:25.119114,d
2020-09-29 16:28:28.244985,a
2020-09-29 16:28:29.444832,a
2020-09-29 16:28:29.725882,d
2020-09-29 16:28:32.318601,a
2020-09-29 16:28:32.920784,d
2020-09-29 16:28:35.850893,a
2020-09-29 16:28:36.489460,d
2020-09-29 16:28:40.292792,a
2020-09-29 16:28:41.381015,d
2020-09-29 16:28:44.329365,a
2020-09-29 16:28:46.807280,d
2020-09-29 16:28:51.648513,a
2020-09-29 16:28:56.208634,d
2020-09-29 16:28:56.522401,a
2020-09-29 16:28:59.529590,a
2020-09-29 16:29:00.210127,d
2020-09-29 16:29:03.233178,d
2020-09-29 16:29:04.194376,a
2020-09-29 16:29:05.664030,a
2020-09-29 16:29:07.490281,d
2020-09-29 16:29:08.943702,a
2020-09-29 16:29:10.551763,d
2020-09-29 16:29:12.656807,a
2020-09-29 16:29:19.910752,d
2020-09-29 16:29:22.161500,a
2020-09-29 16:29:23.299960,d
2020-09-29 16:29:25.152782,a
2020-09-29 16:29:29.531456,a
2020-09-29 16:29:30.197559,d
2020-09-29 16:29:31.559912,a
2020-09-29 16:29:35.580812,d
2020-09-29 16:29:36.178401,a
2020-09-29 16:29:38.736648,a
2020-09-29 16:29:40.614248,d
2020-09-29 16:29:42.220737,a
2020-09-29 16:29:43.542804,d
2020-09-29 16:29:49.450869,d
2020-09-29 16:29:52.870942,d
2020-09-29 16:29:53.555938,a
2020-09-29 16:29:58.124508,a
2020-09-29 16:29:59.012478,d
2020-09-29 16:30:02.325294,d
2020-09-29 16:30:02.943094,a
2020-09-29 16:30:06.370294,a
2020-09-29 16:30:07.396945,d
2020-09-29 16:30:14.121030,a
2020-09-29 16:30:14.688555,d
2020-09-29 16:30:17.163390,a
2020-09-29 16:30:20.531385,a
2020-09-29 16:30:21.052412,d
2020-09-29 16:30:25.026349,a
2020-09-29 16:30:26.893205,d
2020-09-29 16:30:29.666979,d
2020-09-29 16:30:32.840368,d
2020-09-29 16:30:37.557859,a
2020-09-29 16:30:38.991301,d
2020-09-29 16:30:40.636561,a
2020-09-29 16:30:43.494348,a
2020-09-29 16:30:45.270427,a
2020-09-29 16:30:46.471688,d
2020-09-29 16:30:51.403712,a
2020-09-29 16:30:51.863006,d
2020-09-29 16:30:55.393321,a
2020-09-29 16:30:56.509910,d
2020-09-29 16:30:58.138978,a
2020-09-29 16:31:00.880961,d
2020-09-29 16:31:01.485046,a
2020-09-29 16:31:04.894311,a
2020-09-29 16:31:08.851219,d
2020-09-29 16:31:10.409289,a
2020-09-29 16:31:13.944167,d
2020-09-29 16:31:15.365320,a
2020-09-29 16:31:18.431807,d
2020-09-29 16:31:18.744384,a
2020-09-29 16:31:21.706439,d
2020-09-29 16:31:22.750592,a
2020-09-29 16:31:26.404706,d
2020-09-29 16:31:31.627687,a
2020-09-29 16:31:32.827749,d
2020-09-29 16:31:37.508098,a
2020-09-29 16:31:40.051730,d
2020-09-29 16:31:40.377402,a
2020-09-29 16:31:43.591992,a
2020-09-29 16:31:44.762698,d
2020-09-29 16:31:46.880919,a
2020-09-29 16:31:50.151927,a
2020-09-29 16:31:51.431266,d
2020-09-29 16:31:54.629992,a
2020-09-29 16:31:54.998750,d
2020-09-29 16:31:58.580099,d
2020-09-29 16:31:58.986237,a
2020-09-29 16:32:02.386808,a
2020-09-29 16:32:04.221647,d
2020-09-29 16:32:08.604110,d
2020-09-29 16:32:11.947729,a
2020-09-29 16:32:14.096008,a
2020-09-29 16:32:14.507654,d
2020-09-29 16:32:18.995489,d
2020-09-29 16:32:19.506902,a
2020-09-29 16:32:21.925614,a
2020-09-29 16:32:24.153081,d
2020-09-29 16:32:26.671260,a
2020-09-29 16:32:28.525805,d
2020-09-29 16:32:29.465435,a
2020-09-29 16:32:32.250603,a
2020-09-29 16:32:38.044281,d
2020-09-29 16:32:39.798244,a
2020-09-29 16:32:41.530272,d
2020-09-29 16:32:44.464343,a
2020-09-29 16:32:45.972352,d
2020-09-29 16:32:50.331885,a
2020-09-29 16:32:50.861904,d
2020-09-29 16:32:53.383441,d
2020-09-29 16:32:54.237293,a
2020-09-29 16:32:57.873882,a
2020-09-29 16:32:58.517573,d
2020-09-29 16:33:02.059902,a
2020-09-29 16:33:03.090390,d
2020-09-29 16:33:05.787777,a
2020-09-29 16:33:08.784108,d
2020-09-29 16:33:11.124552,a
2020-09-29 16:33:14.760989,a
2020-09-29 16:33:15.815444,d
2020-09-29 16:33:19.027133,a
2020-09-29 16:33:20.136241,d
2020-09-29 16:33:24.078069,a
2020-09-29 16:33:28.551025,a
2020-09-29 16:33:29.314315,d
2020-09-29 16:33:31.448761,a
